kanji,hiragana,english,level
,かかる,to take time or money,N5
お兄さん,おにいさん,(honorable) older brother,N5
お姉さん,おねえさん,(honorable) older sister,N5
お弁当,おべんとう,boxed lunch,N5
お手洗い,おてあらい,bathroom,N5
お母さん,おかあさん,(honorable) mother,N5
お父さん,おとうさん,(honorable) father,N5
お皿,おさら,"plate, dish",N5
お茶,おちゃ,green tea,N5
お菓子,おかし,"sweets, candy",N5
お酒,おさけ,"alcohol, rice wine",N5
お金,おかね,money,N5
お風呂,おふろ,Bath,N5
さ来年,さらいねん,year after next,N5
とり肉,とりにく,chicken meat,N5
もう一度,もういちど,again,N5
一,いち,one,N5
一つ,ひとつ,one,N5
一人,ひとり,one person,N5
一日,ついたち,first of month,N5
一昨年,おととし,year before last,N5
一昨日,おととい,day before yesterday,N5
一月,ひとつき,one month,N5
一緒,いっしょ,together,N5
七,しち / なな,Seven,N5
七つ,ななつ,seven,N5
七日,なのか,"seven days,the seventh day",N5
万,まん,ten thousand,N5
万年筆,まんねんひつ,fountain pen,N5
丈夫,じょうぶ,"strong, durable",N5
三,さん,Three,N5
三つ,みっつ,three,N5
三日,みっか,"three days, third day of the month",N5
上,うえ,on top of,N5
上げる,あげる,to give,N5
上手,じょうず,Skillful,N5
上着,うわぎ,jacket,N5
下,した,Below,N5
下手,へた,unskillful,N5
両親,りょうしん,both parents,N5
並ぶ,ならぶ,"to line up,to stand in a line",N5
並べる,ならべる,"to line up,to set up",N5
中,なか,middle,N5
丸い/円い,まるい,"round,circular",N5
乗る,のる,"to get on,to ride",N5
九,きゅう / く,Nine,N5
九つ,ここのつ,Nine,N5
九日,ここのか,"nine days, ninth day",N5
二,に,two,N5
二つ,ふたつ,two,N5
二人,ふたり,two people,N5
二十日,はつか,"twenty days,twentieth",N5
二十歳,はたち,"N20 years old,N20th year",N5
二日,ふつか,"two days, second day of the month",N5
五,ご,Five,N5
五つ,いつつ,five,N5
五日,いつか,"five days, fifth day",N5
交差点,こうさてん,intersection,N5
交番,こうばん,police box,N5
人,ひと,person,N5
今,いま,now,N5
今年,ことし,this year,N5
今日,きょう,Today,N5
今晩,こんばん,this evening,N5
今月,こんげつ,this month,N5
今朝,けさ,this morning,N5
今週,こんしゅう,this week,N5
仕事,しごと,Job,N5
休み,やすみ,"rest,holiday",N5
休む,やすむ,to rest,N5
会う,あう,to meet,N5
会社,かいしゃ,Company,N5
伯母さん/叔母さん,おばさん,Aunt,N5
伯父/叔父,おじいさん,"grandfather, male senior citizen",N5
低い,ひくい,"short,low",N5
住む,すむ,to live in,N5
体,からだ,Body,N5
何,なん/なに,what,N5
作る,つくる,to make,N5
作文,さくぶん,"composition, writing",N5
使う,つかう,to use,N5
便利,べんり,"useful, convenient",N5
借りる,かりる,to borrow,N5
傘,かさ,Umbrella,N5
働く,はたらく,to work,N5
元気,げんき,"health, vitality",N5
兄,あに,(humble) older brother,N5
兄弟,きょうだい,(humble) siblings,N5
先,さき,"the future, previous",N5
先月,せんげつ,last month,N5
先生,せんせい,"teacher, doctor",N5
先週,せんしゅう,last week,N5
入る,はいる,"to enter,to contain",N5
入れる,いれる,to put in,N5
入口,いりぐち,entrance,N5
全部,ぜんぶ,All,N5
八,はち,eight,N5
八つ,やっつ,eight,N5
八日,ようか,"eight days, eighth day of the month",N5
八百屋,やおや,greengrocer,N5
公園,こうえん,Park,N5
六,ろく,six,N5
六つ,むっつ,six,N5
六日,むいか,"six days, sixth day of the month",N5
写真,しゃしん,photograph,N5
冬,ふゆ,winter,N5
冷たい,つめたい,cold to the touch,N5
冷蔵庫,れいぞうこ,refrigerator,N5
出かける,でかける,to go out,N5
出す,だす,to put out,N5
出る,でる,"to appear,to leave",N5
出口,でぐち,exit,N5
分かる,わかる,to be understood,N5
切る,きる,to cut,N5
切手,きって,postage stamp,N5
切符,きっぷ,Ticket,N5
初め/始め,はじめ,beginning,N5
初めて,はじめて,for the first time,N5
前,まえ,before,N5
勉強,べんきょうする,to study,N5
動物,どうぶつ,animal,N5
勤める,つとめる,to work for someone,N5
北,きた,North,N5
医者,いしゃ,medical doctor,N5
十,じゅう とお,Ten,N5
十日,とおか,"ten days,the tenth day",N5
千,せん,Thousand,N5
午前,ごぜん,morning,N5
午後,ごご,afternoon,N5
半,はん,half,N5
半分,はんぶん,half minute,N5
南,みなみ,south,N5
危ない,あぶない,dangerous,N5
卵,たまご,egg,N5
厚い,あつい,"kind, deep, thick",N5
去年,きょねん,last year,N5
友達,ともだち,friend,N5
取る,とる,to take something,N5
口,くち,"mouth, opening",N5
古い,ふるい,old (not used for people),N5
台所,だいどころ,kitchen,N5
右,みぎ,right side,N5
同じ,おなじ,same,N5
名前,なまえ,name,N5
向こう,むこう,over there,N5
吸う,すう,"to smoke, to suck",N5
吹く,ふく,to blow,N5
呼ぶ,よぶ,"to call out,to invite",N5
咲く,さく,to bloom,N5
問題,もんだい,problem,N5
喫茶店,きっさてん,coffee lounge,N5
四,し / よん,Four,N5
四つ,よっつ,four,N5
四日,よっか,"four days, fouth day of the month",N5
困る,こまる,to be worried,N5
図書館,としょかん,library,N5
国,くに,Country,N5
土曜日,どようび,Saturday,N5
地下鉄,ちかてつ,underground train,N5
地図,ちず,map,N5
塩,しお,Salt,N5
声,こえ,Voice,N5
売る,うる,to sell,N5
夏,なつ,summer,N5
夏休み,なつやすみ,summer holiday,N5
夕方,ゆうがた,evening,N5
